,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Cat. No. 2068.0 - 2006 Census Tables,,,,,,,,,,,
2006 Census of Population and Housing,,,,,,,,,,,
Australia (Australia),,,,,,,,,,,
COUNTRY OF BIRTH OF PERSON(a) BY YEAR OF ARRIVAL IN AUSTRALIA ,,,,,,,,,,,
Count of persons born overseas(b),,,,,,,,,,,
Based on place of usual residence,,,,,,,,,,,
,,,,,,,,,,Year,
,Before,1991,1996,,,,,,,of arrival,
,1991,-1995,-2000,2001,2002,2003,2004,2005,2006(c),not stated,Total
,,,,,,,,,,,
South Africa,"38,860","7,012","22,190","6,451","5,316","5,353","5,344","6,307","3,962","3,325","104,120"
"South Eastern Europe, nfd(e)","23,840","3,399","3,977",387,252,143,90,100,61,"1,110","33,359"
Sri Lanka,"28,508","9,620","8,864","2,052","1,928","1,853","2,114","3,007","2,186","2,120","62,252"
Thailand,"9,170","3,428","4,794","1,429","1,544","1,665","2,092","2,567","1,536","2,327","30,552"
Turkey,"20,261","2,720","2,766",552,564,599,601,582,314,"1,536","30,495"
United Kingdom(f),"789,908","42,979","51,086","12,636","13,816","18,783","20,773","23,984","15,079","49,112","1,038,156"
United States of America,"26,998","5,687","8,277","2,319","2,352","2,762","3,281","4,219","2,924","2,896","61,715"
Viet Nam,"97,594","27,314","12,490","1,763","2,067","2,227","2,463","2,603","1,779","9,554","159,854"
Born elsewhere(g),"361,903","69,258","81,062","20,383","19,081","24,459","29,277","33,818","22,071","30,173","691,485"
,,,,,,,,,,,
Total,"2,645,148","353,458","449,174","106,626","102,474","124,646","143,559","166,387","112,368","212,197","4,416,037"
,,,,,,,,,,,
,,,,,,,,,,,
(a) This list of countries consists of the most common Country of Birth responses (excluding Australia) reported in the 2001 Census. ,,,,,,,,,,,
(b) Excludes persons who did not state their country of birth. ,,,,,,,,,,,
(c) The year 2006 is the period 1 January 2006 to 8 August 2006. ,,,,,,,,,,,
(d) Special Administrative Regions (SARs) comprise 'Hong Kong (SAR of China)' and 'Macau (SAR of China)'. ,,,,,,,,,,,
(e) Includes persons who stated their birthplace as Yugoslavia.,,,,,,,,,,,
"(f) Comprises 'United Kingdom, nfd', 'Channel Islands', 'England', 'Isle of Man', 'Northern Ireland', 'Scotland' and 'Wales'.",,,,,,,,,,,
"(g) Includes countries not identified individually, 'Australian External Territories', 'Inadequately described', 'At sea' and 'Not elsewhere classified'.",,,,,,,,,,,
,,,,,,,,,,,
© Commonwealth of Australia 2007,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
